Object Tracking Data File Thu, Feb 09, 2023 3:50 PM
X (pixels)  	Y (pixels)  
741.17	413.37
742.96	412.66
741.47	413.14
742.72	413.14
739.39	413.14
740.26	413.19
742.83	414.71
746.31	414.12
744.67	413.63
742.96	412.81
743.97	414.65
747.39	416.19
748.65	417.93
747.29	416.20
747.11	417.91
746.39	416.25
746.95	416.58
748.59	418.80
747.41	416.63
747.20	416.44
749.53	418.35
748.95	418.44
746.21	413.96
749.95	415.01
748.29	418.58
748.48	417.45
747.72	416.87
747.21	415.25
748.01	416.33
747.50	417.73
748.42	416.57
749.85	418.25
749.10	419.88
748.91	421.16
748.89	421.00
748.12	419.75
747.56	417.15
742.59	420.72
748.65	420.63
745.39	417.38
742.95	419.34
744.76	421.74
744.29	422.56
740.82	418.35
743.10	419.52
743.53	421.22
741.73	419.46
740.88	421.31
743.01	420.95
743.15	423.46
743.47	422.76
743.30	420.15
742.79	422.12
742.41	421.81
742.04	421.30
744.67	421.77
743.90	421.24
743.56	422.91
742.33	422.24
741.83	422.44
742.19	422.32
743.00	422.75
739.30	423.44
741.48	424.23
742.79	424.60
734.83	423.77
733.51	426.85
735.22	424.37
736.71	423.95
736.71	425.43
741.52	424.79
736.85	422.87
738.01	421.81
738.57	422.54
738.41	422.74
738.92	420.49
736.45	418.92
736.18	417.40
735.48	418.54
734.15	420.17
733.58	420.95
733.74	421.99
733.32	423.51
731.28	422.76
730.24	421.31
729.95	421.20
730.99	423.28
731.25	424.93
731.62	428.16
731.17	428.01
730.81	428.25
732.04	427.40
733.04	428.04
732.50	429.90
733.86	428.59
732.19	427.12
732.39	424.70
732.53	423.48
734.14	421.13
733.94	422.71
736.61	420.79
736.92	420.71
736.70	420.64
735.66	422.53
739.42	422.55
740.65	423.02
742.69	425.19
742.70	424.38
741.61	425.32
740.48	423.85
743.67	424.10
741.98	423.51
740.87	424.22
743.86	423.86
742.04	421.85
742.47	420.39
739.37	418.80
740.28	420.62
738.04	417.90
738.40	418.02
